t,W,Q,H,S,A,P
1 days,242.8869111111111,874.8105555555554,266.2774222222222,0.00018374531430435302,873.3634555555557,
1 days,242.6003857142857,873.9516857142856,265.4075571428571,0.00015636449349997302,873.2511142857144,
1 days,271.528475,872.120575,264.44223750000003,0.00023597885908972177,746.6017875,
1 days,261.9530125,870.0441874999999,263.0665,0.00022316326091427547,785.0175750000001,
2 days,247.97073333333336,894.5798111111112,266.33417777777777,0.00018390542349882896,887.2303999999999,
2 days,243.35467142857146,892.2430571428571,265.4507571428572,0.00015759429780735974,883.7479285714287,
2 days,272.507075,890.235625,264.4806125,0.0002368524504236875,755.3977625,
2 days,262.9098,887.7793375,263.10046250000005,0.00022462184431894472,793.1375875000001,
3 days,249.80325555555555,944.3538,266.4558333333333,0.00018342509591542388,917.5326222222224,
3 days,246.9948,941.569042857143,265.5676,0.00016041259934513377,912.3839857142858,
3 days,274.7605,938.97545,264.591425,0.00023650301389009873,780.8990249999999,
3 days,266.96735,935.6737125,263.2335875,0.00022041347252842224,825.0799,
4 days,251.72161111111114,1009.8502222222222,266.61310000000003,0.00018214422235965046,956.9864666666666,
4 days,248.73340000000002,1009.3589999999998,265.7241571428571,0.00016228292672928535,951.1721142857141,
4 days,276.8505625,1008.7935000000001,264.74866249999997,0.0002342535162051094,817.286875,
4 days,278.49899999999997,1007.9125000000001,263.4265375,0.00021477042853659326,871.956525,
5 days,252.37618888888886,1038.505,266.67853333333335,0.00018186403126931754,973.4837333333331,
5 days,249.40775714285715,1038.4908571428573,265.78798571428575,0.0001630515544214148,967.0473714285715,
5 days,277.4221375,1038.386375,264.81185,0.00023372936140473246,831.9703750000001,
5 days,281.09282499999995,1038.0596249999999,263.5014625,0.00021302491069165184,890.318375,
6 days,254.38754444444442,1141.5646666666669,266.8887666666667,0.00018390542349882896,1026.7949,
6 days,251.48599999999996,1136.6589999999999,265.9809,0.00016789390888175465,1015.2312142857144,
6 days,278.74153750000005,1131.727875,264.98929999999996,0.00023552022363937644,873.4013249999998,
6 days,285.7132,1125.277,263.6917625,0.00021099245840645184,937.2429249999999,
7 days,253.47858888888888,1082.121,266.78408888888885,0.00018038302122047194,1000.1890222222222,
7 days,250.5806857142857,1085.6354285714285,265.8962428571428,0.00016351273103667208,994.0509428571429,
7 days,278.2557,1088.9671250000001,264.92525,0.00023113042718615433,858.362775,
7 days,285.01575,1093.067375,263.650125,0.00020668844180253248,926.919425,
8 days,252.08474444444448,1020.298111111111,266.6481888888889,0.000180262939324615,965.822911111111,
8 days,249.18825714285714,1024.2001428571427,265.7665285714286,0.00016141181534488458,961.7105428571429,
8 days,277.3350625,1027.7365,264.7993125,0.0002316545819865437,829.0202625000001,
8 days,281.168925,1031.897125,263.50255,0.00021041858952594827,890.5681124999999,
9 days,255.54483333333332,1225.4804444444444,267.05348888888886,0.0001851462697559834,1068.8183333333334,
9 days,252.67218571428572,1218.3452857142856,266.13447142857143,0.00017132711257321476,1053.7973142857143,
9 days,280.035425,1210.027875,265.1292125,0.00023811915785795456,906.2218375000001,
9 days,288.01285,1197.2935000000002,263.834,0.0002107772575762681,972.5106125,
10 days,255.0658666666667,1177.2604444444444,266.9817777777778,0.00018106348529697196,1050.488677777778,
10 days,252.3090857142857,1178.5447142857142,266.0859285714286,0.0001663310325744461,1041.5989142857143,
10 days,279.8803125,1179.678,265.1125,0.00022940508430155436,902.157275,
10 days,288.73499999999996,1180.658125,263.8852625,0.00019655009157990884,985.1727875000001,
11 days,255.40573333333336,1205.890222222222,267.03301111111114,0.00018226430425550741,1063.576,
11 days,252.64264285714285,1204.7274285714286,266.12972857142853,0.00016822698088167644,1052.6110142857142,
11 days,280.2082125,1203.75875,265.146075,0.0002321350572202329,910.0926374999999,
11 days,288.8611,1202.8656250000001,263.8980125,0.00020173882270798033,988.381875,
12 days,254.6275888888889,1145.5392222222224,266.9208444444444,0.000180262939324615,1034.951188888889,
12 days,251.8783,1149.5464285714286,266.0296714285715,0.00016540867934390242,1027.4736285714287,
12 days,279.328075,1153.4965,265.0564875,0.00023032235520223265,889.0386875,
12 days,287.668125,1158.481875,263.8053875,0.0002025518036220712,965.3620874999999,
13 days,253.17490000000004,1070.3343333333332,266.75561111111114,0.00018074326690803143,992.9727666666666,
13 days,250.26269999999997,1072.668857142857,265.86715714285714,0.00016338462642132202,986.7859714285714,
13 days,278.02675,1075.0105,264.8955875,0.00023145802393639925,851.4488249999999,
13 days,284.3097125,1078.083875,263.6140625,0.00020778835715685472,918.015925,
14 days,253.84443333333334,1104.798,266.8197888888888,0.00018246444074859096,1009.2529888888889,
14 days,250.84900000000002,1102.4074285714287,265.9215571428571,0.00016533181657468074,1000.3751428571429,
14 days,278.4641625,1095.74525,264.95117500000003,0.00022713374683323357,864.3665250000001,
14 days,287.77515,1041.5663875,263.7991875,0.00016288311725575603,963.498175,
15 days,256.76669999999996,1257.5891111111112,267.3060777777778,0.00015968890783515,1133.5709888888887,
15 days,255.95074285714284,1231.3441428571427,266.5638285714286,0.000127515334122462,1162.4065714285714,
15 days,285.410875,1214.928625,265.93423750000005,0.00012520747794180894,1095.3561249999998,
15 days,321.3709875,1206.552,265.4215125,6.82903967825054e-05,1387.59625,
16 days,267.21717777777775,2197.8634444444447,269.8407777777778,0.00010242985716258431,1795.2892222222222,
16 days,531.4439571428572,2202.686,269.36705714285716,8.185884921062191e-05,1887.0637142857142,
16 days,1064.8494375,2220.3261249999996,269.0259625,6.53009522145486e-05,1843.515375,
16 days,1502.199975,2236.883375,268.7727375,3.445604403486729e-05,2285.4348750000004,
17 days,263.1826444444444,1671.6798888888889,268.92437777777775,9.778669052294117e-05,1554.1521111111113,
17 days,303.73449999999997,1691.7674285714286,268.4786,7.553048121216609e-05,1656.1214285714284,
17 days,428.65639999999996,1711.7473750000001,268.13945,6.510439416441655e-05,1628.267375,
17 days,896.715,1799.9965,267.87611250000003,3.928610711261896e-05,2045.2574999999997,
18 days,261.46417777777776,1907.0283333333334,268.4889444444444,0.0001648724430061324,1440.1974444444445,
18 days,287.37244285714286,1907.931,267.6743571428571,0.0001524188713470981,1447.2554285714286,
18 days,291.44977500000005,1912.5529999999999,266.89625,0.0001642351707871062,1328.0569999999998,
18 days,327.2716125,1923.4362499999997,266.1733125,0.00010872424165618584,1588.4591249999999,
19 days,260.5880666666667,1812.6101111111109,268.2600777777777,0.00017153698822597175,1380.447222222222,
19 days,264.0840857142857,1819.9050000000002,267.40265714285715,0.0001628465870368285,1377.0534285714286,
